theta1,theta3,pdf,log_pdf
0.733038,2.19911,0.0215047,-3.83949
0.733038,2.40855,0.0232072,-3.76329
0.733038,2.61799,0.0248634,-3.69436
0.733038,2.82743,0.0262365,-3.64061
0.733038,3.03687,0.0270553,-3.60987
0.942478,-3.03687,0.0282505,-3.56664
0.942478,-2.82743,0.0275037,-3.59343
0.942478,-2.61799,0.0261479,-3.64399
0.942478,-2.40855,0.0244657,-3.71048
0.942478,-2.19911,0.0227174,-3.78462
0.942478,-1.98968,0.0209112,-3.86747
0.942478,-1.78024,0.0192667,-3.94937
0.942478,-1.5708,0.0178776,-4.02421
0.942478,-1.36136,0.0167434,-4.08975
0.942478,-1.15192,0.0158279,-4.14598
0.942478,-0.942478,0.0151312,-4.191
0.942478,-0.733038,0.0145765,-4.22835
0.942478,-0.523599,0.0141925,-4.25504
0.942478,-0.314159,0.0139521,-4.27212
0.942478,-0.10472,0.0138429,-4.27998
0.942478,0.10472,0.0138378,-4.28035
0.942478,0.314159,0.0139691,-4.27091
0.942478,0.523599,0.0142489,-4.25107
0.942478,0.733038,0.0146732,-4.22173
0.942478,0.942478,0.0152455,-4.18347
0.942478,1.15192,0.0159739,-4.1368
0.942478,1.36136,0.0168666,-4.08242
0.942478,1.5708,0.0179537,-4.01996
0.942478,1.78024,0.0192465,-3.95043
0.942478,1.98968,0.0207389,-3.87575
0.942478,2.19911,0.0224262,-3.79752
0.942478,2.40855,0.0241955,-3.72159
0.942478,2.61799,0.0259398,-3.65198
