timestep,marginal,bin,center,left,right,target_density,reconstructed_density,seed_min_density,seed_max_density
coarse,log_I3,71,2.2071681552356366,2.147341527659324,2.266994782811949,0.014076426823581475,0.014453807121376979,0.014151614440222752,0.01472917474827466
coarse,theta1,0,-3.097959422289935,-3.141592653589793,-3.0543261909900767,0.24719300680668674,0.24339282784409255,0.24307105634947734,0.24388692208501783
coarse,theta1,1,-3.0106929596902186,-3.0543261909900767,-2.9670597283903604,0.24303552338060297,0.23966106628998998,0.23930946123409902,0.24020240014008767
coarse,theta1,2,-2.923426497090502,-2.9670597283903604,-2.8797932657906435,0.23792908809585114,0.23343316642992398,0.23309293315859053,0.23402380168183193
coarse,theta1,3,-2.8361600344907854,-2.8797932657906435,-2.792526803190927,0.23010113049945347,0.22635918673525132,0.22601461923681176,0.22701548230550944
coarse,theta1,4,-2.748893571891069,-2.792526803190927,-2.705260340591211,0.22017473596275727,0.2168927792047235,0.21655609667039824,0.21753195984267581
coarse,theta1,5,-2.6616271092913526,-2.705260340591211,-2.6179938779914944,0.2110540552683254,0.20738072670976124,0.20701185832150626,0.20801023153459092
coarse,theta1,6,-2.574360646691636,-2.6179938779914944,-2.5307274153917776,0.20057619436847848,0.19956500750694206,0.19919130843457028,0.20016196624504964
coarse,theta1,7,-2.4870941840919194,-2.5307274153917776,-2.443460952792061,0.19271600821839,0.19028946559688695,0.18991987205950522,0.19082567157490427
coarse,theta1,8,-2.399827721492203,-2.443460952792061,-2.356194490192345,0.1819373474840987,0.18185265274760756,0.18148908201197286,0.18232862704676908
coarse,theta1,9,-2.3125612588924866,-2.356194490192345,-2.2689280275926285,0.17180683877402894,0.17433244255899663,0.17399905957983117,0.174742529384658
coarse,theta1,10,-2.2252947962927703,-2.2689280275926285,-2.181661564992912,0.16184463473323213,0.1668983804983084,0.1665681753799669,0.16727201267547515
coarse,theta1,11,-2.138028333693054,-2.181661564992912,-2.0943951023931957,0.15480090527663715,0.15941100775380534,0.15908181656949968,0.15976595505225302
coarse,theta1,12,-2.0507618710933375,-2.0943951023931957,-2.007128639793479,0.14821195652211946,0.1521990669422239,0.15187657267482255,0.15253574875564208
coarse,theta1,13,-1.9634954084936207,-2.007128639793479,-1.9198621771937625,0.1440186635919358,0.14692812635748018,0.14658807980286248,0.14727816940556598
coarse,theta1,14,-1.8762289458939043,-1.9198621771937625,-1.832595714594046,0.1391378281830188,0.1404434332657767,0.14011230090837984,0.140782486051216
coarse,theta1,15,-1.7889624832941877,-1.832595714594046,-1.7453292519943295,0.1360904393840551,0.1362834491414954,0.13593460270994115,0.13662573072056197
coarse,theta1,16,-1.7016960206944713,-1.7453292519943295,-1.6580627893946132,0.13190072740428074,0.13222881180698332,0.1318828361910029,0.13256284447499067
coarse,theta1,17,-1.6144295580947547,-1.6580627893946132,-1.5707963267948966,0.12836991029995776,0.12878978089888313,0.12844762442339755,0.12912218196742475
