case,source,sector,angle,bin,theta,density
equilibrium,legacy_density,middle,theta1,29,-0.5672320068981571,0.11941142338785121
equilibrium,legacy_density,middle,theta1,30,-0.4799655442984405,0.12151517074281734
equilibrium,legacy_density,middle,theta1,31,-0.39269908169872414,0.11802531732465571
equilibrium,legacy_density,middle,theta1,32,-0.30543261909900776,0.11789831838471583
equilibrium,legacy_density,middle,theta1,33,-0.21816615649929139,0.12022163061341135
equilibrium,legacy_density,middle,theta1,34,-0.1308996938995748,0.11637192460881374
equilibrium,legacy_density,middle,theta1,35,-0.04363323129985819,0.11813523226817634
equilibrium,legacy_density,middle,theta1,36,0.04363323129985819,0.11798972914064053
equilibrium,legacy_density,middle,theta1,37,0.13089969389957457,0.11699520298755801
equilibrium,legacy_density,middle,theta1,38,0.21816615649929116,0.11853335525371816
equilibrium,legacy_density,middle,theta1,39,0.30543261909900776,0.1224548419415061
equilibrium,legacy_density,middle,theta1,40,0.39269908169872414,0.1230253913364247
equilibrium,legacy_density,middle,theta1,41,0.4799655442984405,0.12257391642619754
equilibrium,legacy_density,middle,theta1,42,0.5672320068981569,0.12264125216406072
equilibrium,legacy_density,middle,theta1,43,0.6544984694978735,0.12354168805915991
equilibrium,legacy_density,middle,theta1,44,0.7417649320975901,0.12448089460366908
equilibrium,legacy_density,middle,theta1,45,0.8290313946973065,0.1281734468426871
equilibrium,legacy_density,middle,theta1,46,0.9162978572970228,0.1308894354945335
equilibrium,legacy_density,middle,theta1,47,1.0035643198967392,0.13021152186801663
equilibrium,legacy_density,middle,theta1,48,1.0908307824964556,0.12929543382973407
equilibrium,legacy_density,middle,theta1,49,1.178097245096172,0.134068562312034
equilibrium,legacy_density,middle,theta1,50,1.2653637076958888,0.13637070311273558
equilibrium,legacy_density,middle,theta1,51,1.3526301702956056,0.13895900371961464
equilibrium,legacy_density,middle,theta1,52,1.439896632895322,0.14263390396191886
equilibrium,legacy_density,middle,theta1,53,1.5271630954950384,0.14816661105383563
equilibrium,legacy_density,middle,theta1,54,1.6144295580947547,0.15092461687919206
